out_airline_company,in_airline_company,dep_city,arr_city,out_dep_date,out_dep_time,out_duration,out_stop_num,out_arr_date,out_arr_time,in_dep_date,in_dep_time,in_duration,in_stop_num,in_arr_date,in_arr_time,price_ticket,hour_scrap,day_scrap
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,9:50 PM,10h 05m,1 stop,Aug 16,1:55 PM,"1 051,86 €",10,30
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,3:55 PM,9h 40m,1 stop,Aug 16,7:35 AM,"1 076,82 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,2:40 PM,11h 25m,1 stop,Aug 1,8:05 PM,Aug 15,9:50 PM,10h 05m,1 stop,Aug 16,1:55 PM,"1 062,10 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:15 AM,11h 30m,1 stop,Aug 1,1:45 PM,Aug 15,9:50 PM,10h 05m,1 stop,Aug 16,1:55 PM,"1 062,10 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,2:40 PM,11h 25m,1 stop,Aug 1,8:05 PM,Aug 15,3:55 PM,9h 40m,1 stop,Aug 16,7:35 AM,"1 062,10 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:15 AM,11h 30m,1 stop,Aug 1,1:45 PM,Aug 15,3:55 PM,9h 40m,1 stop,Aug 16,7:35 AM,"1 087,06 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:50 AM,12h 10m,1 stop,Aug 1,3:00 PM,Aug 15,9:50 PM,10h 05m,1 stop,Aug 16,1:55 PM,"1 051,86 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:50 AM,12h 10m,1 stop,Aug 1,3:00 PM,Aug 15,3:55 PM,9h 40m,1 stop,Aug 16,7:35 AM,"1 087,06 €",10,30
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,3:55 PM,10h 40m,1 stop,Aug 16,8:35 AM,"1 076,82 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,2:40 PM,11h 25m,1 stop,Aug 1,8:05 PM,Aug 15,3:55 PM,10h 40m,1 stop,Aug 16,8:35 AM,"1 076,82 €",10,30
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,7:00 AM,12h 45m,1 stop,Aug 1,1:45 PM,Aug 15,9:50 PM,10h 05m,1 stop,Aug 16,1:55 PM,"1 062,10 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:15 AM,11h 30m,1 stop,Aug 1,1:45 PM,Aug 15,3:55 PM,10h 40m,1 stop,Aug 16,8:35 AM,"1 087,06 €",10,30
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,7:00 AM,12h 45m,1 stop,Aug 1,1:45 PM,Aug 15,3:55 PM,9h 40m,1 stop,Aug 16,7:35 AM,"1 062,10 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:50 AM,12h 10m,1 stop,Aug 1,3:00 PM,Aug 15,3:55 PM,10h 40m,1 stop,Aug 16,8:35 AM,"1 076,82 €",10,30
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,9:50 PM,13h 30m,1 stop,Aug 16,5:20 PM,"1 049,72 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,2:40 PM,11h 25m,1 stop,Aug 1,8:05 PM,Aug 15,9:50 PM,13h 30m,1 stop,Aug 16,5:20 PM,"1 051,95 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:15 AM,11h 30m,1 stop,Aug 1,1:45 PM,Aug 15,9:50 PM,13h 30m,1 stop,Aug 16,5:20 PM,"1 051,95 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:50 AM,12h 10m,1 stop,Aug 1,3:00 PM,Aug 15,9:50 PM,13h 30m,1 stop,Aug 16,5:20 PM,"1 049,72 €",10,30
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,9:50 PM,15h 30m,1 stop,Aug 16,7:20 PM,"1 049,72 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,2:40 PM,11h 25m,1 stop,Aug 1,8:05 PM,Aug 15,9:50 PM,15h 30m,1 stop,Aug 16,7:20 PM,"1 051,95 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:15 AM,11h 30m,1 stop,Aug 1,1:45 PM,Aug 15,9:50 PM,15h 30m,1 stop,Aug 16,7:20 PM,"1 051,95 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:50 AM,12h 10m,1 stop,Aug 1,3:00 PM,Aug 15,9:50 PM,15h 30m,1 stop,Aug 16,7:20 PM,"1 051,95 €",10,30
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,16h 20m,1 stop,Aug 16,3:50 PM,"1 071,63 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,2:40 PM,11h 25m,1 stop,Aug 1,8:05 PM,Aug 15,5:30 PM,16h 20m,1 stop,Aug 16,3:50 PM,"1 073,86 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:15 AM,11h 30m,1 stop,Aug 1,1:45 PM,Aug 15,5:30 PM,16h 20m,1 stop,Aug 16,3:50 PM,"1 073,86 €",10,30
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:50 AM,12h 10m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,16h 20m,1 stop,Aug 16,3:50 PM,"1 071,63 €",10,30
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,17h 40m,1 stop,Aug 16,5:10 PM,"1 096,63 €",10,30
